TEAM;YEAR;C1;C2.1;C2.2;C2.3;C2a;C2b;C3
ANDALUCIA;2009;10;10;9;10;9,666666667;9,5;9
ALDEBARAN;2009;8;6;10;7;7,666666667;8,5;9
PADELTEAM;2009;9;2;2;8;4;5;6
USQ;2009;6;4;4;7;5;5,5;7
CANTABRIA;2009;9;5;9;5;6,333333333;7;7
CATALUNYA;2009;0;0;2;0;0,666666667;1;0
WIKIPEOPLE;2009;2;3;2;2;2,333333333;2;6
LEARN;2010;2;8;6;5;6,333333333;5,5;2
YAB;2010;9;7;9;4;6,666666667;6,5;8
JDT;2010;10;8;10;10;9,333333333;10;10
CADIBLOG;2010;5;5;10;9;8;9,5;4
BAHIA;2011;4;4;8;3;5;5,5;7
ESPARTACO;2011;9;8;9;8;8,333333333;8,5;9
MAXIMUS;2011;10;7;10;10;9;10;10
MONTGOMERY;2011;8;7;10;5;7,333333333;7,5;8
PATRITE;2011;7;8;9;9;8,666666667;9;3
POSADA;2011;0;0;3;0;1;1,5;0
SANXER;2011;8;8;10;8;8,666666667;9;9
SUITINTIME;2012;10;10;9;10;9,666666667;9,5;9
CADENA;2012;10;6;8;8;7,333333333;8;6
GROOVY;2012;7;9;9;7;8,333333333;8;8
EDISON;2012;0;5;8;0;4,333333333;4;6
OPENDOORS;2012;6;7;6;6;6,333333333;6;8
GOETHE;2012;9;3;9;5;5,666666667;7;7
NEKONEKO;2012;8;3;10;8;7;9;9
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
